semester,subject_code,subject_name,credit_hours,score,grade,status,notes
1,ANAT101,Anatomy I,3,Not added,Not added,Waiting for result,
1,HIST101,Histology I,2,Not added,Not added,Waiting for result,
1,BIO101,Cell Biology,2,Not added,Not added,Waiting for result,
1,CHEM101,Organic Chemistry,2,Not added,Not added,Waiting for result,
1,ENG101,Scientific English,1,Not added,Not added,Waiting for result,
2,PHYS102,Physiology I,3,Not added,Not added,Waiting for result,
2,CHEM102,Biochemistry I,2,Not added,Not added,Waiting for result,
2,ANAT102,Embryology,2,Not added,Not added,Waiting for result,
2,COMP102,Computer Skills,1,Not added,Not added,Waiting for result,
2,STAT102,Biostatistics,2,Not added,Not added,Waiting for result,
3,ANAT201,Anatomy II,3,Not added,Not added,Waiting for result,
3,HIST201,Histology II,2,Not added,Not added,Waiting for result,
3,PHYS201,Physiology II,3,Not added,Not added,Waiting for result,
3,GEN201,Genetics,2,Not added,Not added,Waiting for result,
3,BEH201,Animal Behavior,2,Not added,Not added,Waiting for result,
4,BIOC202,Biochemistry II,2,Not added,Not added,Waiting for result,
4,PARA202,Parasitology I,3,Not added,Not added,Waiting for result,
4,MICR202,Microbiology I,3,Not added,Not added,Waiting for result,
4,NUTR202,Animal Nutrition I,2,Not added,Not added,Waiting for result,
4,PATH202,General Pathology,3,Not added,Not added,Waiting for result,
5,PHAR301,Pharmacology I,3,Not added,Not added,Waiting for result,
5,PARA301,Parasitology II,3,Not added,Not added,Waiting for result,
5,MICR301,Microbiology II,3,Not added,Not added,Waiting for result,
5,PATH301,Systemic Pathology I,3,Not added,Not added,Waiting for result,
5,NUTR301,Animal Nutrition II,2,Not added,Not added,Waiting for result,
6,PHAR302,Pharmacology II,3,Not added,Not added,Waiting for result,
6,PATH302,Systemic Pathology II,3,Not added,Not added,Waiting for result,
6,FOOD302,Food Hygiene I,2,Not added,Not added,Waiting for result,
6,SURG302,General Surgery,3,Not added,Not added,Waiting for result,
6,REPR302,Theriogenology I,3,Not added,Not added,Waiting for result,
7,MED401,Internal Medicine I,3,Not added,Not added,Waiting for result,
7,SURG401,Surgery I,3,Not added,Not added,Waiting for result,
7,REPR401,Theriogenology II,3,Not added,Not added,Waiting for result,
7,POUL401,Poultry Diseases I,2,Not added,Not added,Waiting for result,
7,FOOD401,Food Hygiene II,2,Not added,Not added,Waiting for result,
8,MED402,Internal Medicine II,3,Not added,Not added,Waiting for result,
8,SURG402,Surgery II,3,Not added,Not added,Waiting for result,
8,INF402,Infectious Diseases I,3,Not added,Not added,Waiting for result,
8,POUL402,Poultry Diseases II,2,Not added,Not added,Waiting for result,
8,FISH402,Fish Diseases,2,Not added,Not added,Waiting for result,
9,MED501,Clinical Medicine I,4,Not added,Not added,Waiting for result,
9,SURG501,Clinical Surgery I,4,Not added,Not added,Waiting for result,
9,INF501,Infectious Diseases II,3,Not added,Not added,Waiting for result,
9,REPR501,Clinical Reproduction I,3,Not added,Not added,Waiting for result,
9,LAB501,Diagnostic Laboratory,2,Not added,Not added,Waiting for result,
10,MED502,Clinical Medicine II,4,Not added,Not added,Waiting for result,
10,SURG502,Clinical Surgery II,4,Not added,Not added,Waiting for result,
10,REPR502,Clinical Reproduction II,3,Not added,Not added,Waiting for result,
10,FIELD502,Field Training,4,Not added,Not added,Waiting for result,
10,ETH502,Veterinary Ethics,1,Not added,Not added,Waiting for result,
